id,STATUS,INTERVIEW_START,intvwdate,XCHANNEL,EVERINBOUND,S1,D1,STATE1,STATEEXPMEDI,GVNREXPMEDI,STATEGVNR,STATE2024VOTE,QUOTAGROUP,age,AGE2,AGETOT,recage,recage2,recage3,recage4,recage5,recage6,Q1_A,Q1_B,Q1_C,Q1_D,Q1_E,COVERAGE,COVTYPE,agecov,agecovtype,Q2,Q3_A,Q3_B,Q3_C,Q3_D,Q3_E,Q3_F,Q4_A,Q4_B,Q4_C,Q4_D,Q4_E,Q14,RVOTE,Q5_A,Q5_B,Q5_C,Q6_A,Q6_B,Q6_C,Q7,Q16,Q17,Q18,Q19,Q23_A,Q23_B,Q23_C,Q23_D,Q15_A,Q15_B,Q15_C,Q20,Q21,Q22_A,Q22_B,Q22_C,Q22_D,EVOTE,PVOTE,PARTY,PARTYLEAN,party3,party5,MAGA1,MAHA1,Q10_1_OTHER_code1,Q9,Q11_A,Q11_B,Q11_C,Q11_D,Q11_E,Q11_NUM,Q12,TOP_PRIORITY,Q13,RGENDER,GENDER,gendervar,LGBQ,LGBT_TOT,EDUC,receduc,receduc2,receduc3,receduc4,HISPANIC,race_1,race_2,race_3,race_4,race_6,race_8,race_98,race_99,race_100,RACENUM,NATIVITY,racethn,racethn2,CHILD,INT5,CE1,CE2,CIVICENGAGE,hhadults,PPD,state,INCOME,recincome,recincome2,recincome3,RECINCOME4,length,BIDENT1,BIDENT2,BIDENT3,BIDENT4,BIDENT5,sample,USERDATA,CREGION,cstate,density,USR_NEW,lang,Division,changesex,WAIVER,WEIGHT_PID_ADJ,MAGA_PARTY3,MAHA1_REC,RACE_other
565,complete,4/14/2026,4/14/2026,CAWI, , , ,Florida,No/Maybe,No/Maybe,Republican governor,Voted for Donald Trump,PP Web,65, ,65-69,65+,65+,65+,60-69,65+,50+,Not at all worried,Not too worried,Not too worried,Not at all worried,Not too worried,Covered by health insurance,"Medicare, the government program for adults 65 and older, and some younger adults with long-term disabilities", , ,"Having more choice of what doctors, specialists, and health care providers you can see",The Republicans,The Republicans,The Republicans,The Republicans,Neither,The Republicans,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Yes,Minor impact,Minor impact,Minor impact,Minor impact,Minor impact,Minor impact,They have a plan to address health care costs,Not enough regulation,Would still say there is not enough regulation,About the right amount, ,Not much,Not much,A fair amount,Not much,Some,Some,Some,Minor role,Minor cuts,Positive impact,No impact,No impact,No impact,More enthusiastic,Republican,Republican, ,Republican/Indep lean Rep,Republican,Yes,Yes,Preventing Disease and Addressing Environmental Health Threats,Strongly support,"Important, but not a top priority",A top priority,"Important, but not a top priority","Important, but not a top priority","Important, but not a top priority",1, ,Restricting the use of certain chemical additives in the food supply,Support both equally,Man,MALE,Male,Straight or heterosexual,NON-LGBT,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,High school or less,Less than college,HIGH SCHOOL OR LESS,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Several times a day, , ,0,2,No, ,"$75,000 to less than $90,000",$40K-$89.9K,$40K +,Less than $90K,Less than $100k,433, , , , , ,Web,Prob panel Web,South,Florida,3,Urban,English,South Atlantic,sex = rgender,2,.9045,MAGA Rep/leaner,Strong MAHA supporter, 
566,complete,4/15/2026,4/15/2026,CAWI, , , ,New Jersey,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,68, ,65-69,65+,65+,65+,60-69,65+,50+,Not at all worried,Somewhat worried,Not too worried,Somewhat worried,Not too worried,Covered by health insurance,Somewhere else, , ,Paying less out-of-pocket for health care,The Republicans,The Republicans,Neither,The Republicans,Neither,The Republicans,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Yes,No impact at all,No impact at all,No impact at all,No impact at all,No impact at all,No impact at all,They have a plan to address health care costs,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would still say there is not enough regulation,Not at all,Not at all,Not at all,Not at all,Some,Some,Some,Minor role,Major cuts,Positive impact,No impact,No impact,No impact,More enthusiastic,Republican,Republican, ,Republican/Indep lean Rep,Republican,Yes,Yes,Desire for a Healthier Population / to Make America Healthy,Strongly support,A top priority,A top priority,A top priority,A top priority,A top priority,5,"Lowering the cost of health care, including prescription drugs","Lowering the cost of health care, including prescription drugs",Support both equally,Man,MALE,Male,Straight or heterosexual,NON-LGBT,"Some postgraduate or professional school, no postgraduate degree",College +,College +,College +,SOME COLLEGE +,Yes,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,Another country,hispanic,"Hispanic, born outside US",No,Almost constantly, , ,0,3,No, ,"$200,000 or more",$90K+,$40K +,$90K +,$100k+,825, , , , , ,Web,Prob panel Web,Northeast,New Jersey,4,Suburban,English,Mid Atlantic,sex = rgender,2,.3232,MAGA Rep/leaner,Strong MAHA supporter, 
568,complete,4/15/2026,4/15/2026,CAWI, , , ,California,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,60, ,60-64,18-64,50-64,55-64,60-69,45-64,50+,Somewhat worried,Somewhat worried,Somewhat worried,Somewhat worried,Very worried,Covered by health insurance,"Medicare, the government program for adults 65 and older, and some younger adults with long-term disabilities",Insured Less than 65,Medicare,"Eliminating prior authorization, where health insurance companies require prior approval before you can get services, tr",The Democrats,Neither,The Democrats,Both equally,Neither,The Democrats,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Yes,Minor impact,Major impact,Major impact,Major impact,Minor impact,Major impact,They care about the problems people like you are having with health care costs,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would still say there is not enough regulation,Not at all,Not at all,Not much,Not much,A little,Some,A little,No role at all,Don't know enough to say,Positive impact,Negative impact,Negative impact,Negative impact,More enthusiastic,Democrat,Democrat, ,Democrat/Indep lean Dem,Democrat, ,No, , , , , , , , , , , ,Man,MALE,Male,Straight or heterosexual,NON-LGBT,High school incomplete (Grades 9-11 or Grade 12 with no diploma),Less than high school,High school or less,Less than college,HIGH SCHOOL OR LESS,Yes,NOT White,NOT Black or African-American,NOT Asian,American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,Another country,hispanic,"Hispanic, born outside US",No,Almost constantly, , ,0,3,No, ,"$90,000 to less than $100,000",$90K+,$40K +,$90K +,Less than $100k,1361, , , , , ,Web,Prob panel Web,West,California,Lowest,Suburban,Spanish,Pacific,sex = rgender,2,.9915,Dem/lean Dem,Not MAHA supporter, 
571,complete,4/17/2026,4/17/2026,CAWI, , , ,New Mexico,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,70, ,70-74,65+,65+,65+,70-74,65+,50+,Somewhat worried,Somewhat worried,Somewhat worried,Somewhat worried,Somewhat worried,Covered by health insurance,"Medicare, the government program for adults 65 and older, and some younger adults with long-term disabilities", , ,Paying less out-of-pocket for health care,The Republicans,The Republicans,Neither,The Republicans,Neither,The Republicans,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Yes,Major impact,Major impact,Major impact,Major impact,Major impact,Major impact,They are willing to take on health insurance and prescription drug companies,Not enough regulation,Would still say there is not enough regulation,About the right amount, ,Not at all,Not at all,Not much,Not much,None at all,A little,None at all,Minor role,Minor cuts,Positive impact,No impact,No impact,No impact,About the same as previous elections,Republican,Independent,Republican,Republican/Indep lean Rep,Independent lean Rep,Yes,Yes,Vaccine and Medical Choice,Strongly support,"Important, but not a top priority","Important, but not a top priority","Important, but not a top priority","Important, but not a top priority",A top priority,1, ,"Lowering the cost of health care, including prescription drugs",Support both equally,Woman,FEMALE,Female,Straight or heterosexual,NON-LGBT,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,SOME COLLEGE +,Yes,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,hispanic,"Hispanic, born in US",No,Several times a day, , ,0,3,Yes, ,"$100,000 to less than $200,000",$90K+,$40K +,$90K +,$100k+,1184, , , , , ,Web,Prob panel Web,West,New Mexico,Lowest,Urban,English,Mountain,sex = rgender,2,.2022,MAGA Rep/leaner,Strong MAHA supporter, 
572,complete,4/14/2026,4/14/2026,CAWI, , , ,Virginia,Yes,Yes - Republican Governor,Democratic governor,Voted for Kamala Harris,PP Web,37, ,35-39,18-64,30-49,35-44,18-39,30-44,18-49,Somewhat worried,Not too worried,Not too worried,Somewhat worried,Somewhat worried,Covered by health insurance,Plan through (your or your spouse's/my or my spouse's) employer,Insured Less than 65,Employer,Paying less out-of-pocket for health care,The Republicans,The Republicans,The Republicans,The Republicans,The Republicans,The Republicans,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Yes,Major impact,Minor impact,Minor impact,Major impact,Major impact,Minor impact,They are willing to take on health insurance and prescription drug companies,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would still say there is not enough regulation,Not at all,Not at all,A fair amount,Not much,None at all,None at all,None at all,Minor role,Don't know enough to say,Positive impact,Positive impact,No impact,Positive impact,Less enthusiastic,Republican,Republican, ,Republican/Indep lean Rep,Republican,Yes,Yes,Want their families and themselves to be healthier,Strongly support,A top priority,A top priority,"Important, but not a top priority",A top priority,"Important, but not a top priority",3,Reevaluating the safety of vaccines currently approved for use in the U.S.,Reevaluating the safety of vaccines currently approved for use in the U.S.,Support both equally,Man,MALE,Male,Straight or heterosexual,NON-LGBT,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",College +,College +,College +,SOME COLLEGE +,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",Yes,Several times a day, , ,0,2,No, ,"$90,000 to less than $100,000",$90K+,$40K +,$90K +,Less than $100k,438, , , , , ,Web,Prob panel Web,South,Virginia,Highest,Suburban,English,South Atlantic,sex = rgender,2,1.8025,MAGA Rep/leaner,Strong MAHA supporter, 
573,complete,4/15/2026,4/15/2026,CAWI, , , ,Arizona,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Donald Trump,PP Web,60, ,60-64,18-64,50-64,55-64,60-69,45-64,50+,Somewhat worried,Somewhat worried,Not too worried,Somewhat worried,Somewhat worried,Covered by health insurance,"Medicaid/(hMEDICAIDSTATE), the government program for certain low-income adults and children",Insured Less than 65,Medicaid,Paying less out-of-pocket for health care,The Democrats,The Democrats,Neither,The Democrats,Neither,The Democrats,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Yes,Major impact,Minor impact,Major impact,Major impact,Minor impact,Major impact,They have a plan to address health care costs,Not enough regulation,Would still say there is not enough regulation,Too much regulation, ,Not much,Not much,A great deal,Not much,None at all,None at all,Some,Minor role,Major cuts,Negative impact,Negative impact,Negative impact,Negative impact,About the same as previous elections,Democrat,Independent,Democratic,Democrat/Indep lean Dem,Independent lean Dem, ,No, , , , , , , , , , , ,Woman,FEMALE,Female,Straight or heterosexual,NON-LGBT,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,High school or less,Less than college,HIGH SCHOOL OR LESS,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Several times a day, , ,0,4,No, ,"$50,000 to less than $75,000",$40K-$89.9K,$40K +,Less than $90K,Less than $100k,1298, , , , , ,Web,Prob panel Web,West,Arizona,3,Suburban,English,Mountain,sex = rgender,1,1.0918,Dem/lean Dem,Not MAHA supporter, 
574,complete,4/16/2026,4/16/2026,CAWI, , , ,California,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,47, ,45-49,18-64,30-49,45-54,40-59,45-64,18-49,Not too worried,Somewhat worried,Not too worried,Not too worried,Not too worried,Covered by health insurance,Plan through (your or your spouse's/my or my spouse's) employer,Insured Less than 65,Employer,Paying less out-of-pocket for health care,The Democrats,The Democrats,Both equally,The Democrats,The Democrats,Neither,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat approve,Yes,Minor impact,No impact at all,No impact at all,Minor impact,No impact at all,Minor impact,They have a plan to address health care costs,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would still say there is not enough regulation,Not much,Not much,A fair amount,Not much,Some,Some,Some,"Major role, but not leading",Major cuts,Negative impact,Negative impact,Negative impact,Negative impact,More enthusiastic,Democrat,Democrat, ,Democrat/Indep lean Dem,Democrat, ,Yes,Health Care Access and Affordability,Somewhat support,"Important, but not a top priority","Important, but not a top priority",A top priority,"Important, but not a top priority",A top priority,2,"Lowering the cost of health care, including prescription drugs","Lowering the cost of health care, including prescription drugs", ,Woman,FEMALE,Female,Straight or heterosexual,NON-LGBT,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,SOME COLLEGE +,Yes,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,Another country,hispanic,"Hispanic, born outside US",No,Almost constantly, , ,0,3,No, ,"$75,000 to less than $90,000",$40K-$89.9K,$40K +,Less than $90K,Less than $100k,727, , , , , ,Web,Prob panel Web,West,California,Highest,Urban,Spanish,Pacific,sex = rgender,2,.1685,Dem/lean Dem,Weak MAHA supporter, 
575,complete,4/15/2026,4/15/2026,CAWI, , , ,Kentucky,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Donald Trump,PP Web,64, ,60-64,18-64,50-64,55-64,60-69,45-64,50+,Not at all worried,Not too worried,Not too worried,Not at all worried,Not at all worried,Covered by health insurance,Plan through (your or your spouse's/my or my spouse's) employer,Insured Less than 65,Employer,Paying less out-of-pocket for health care,Neither,The Republicans,Neither,Neither,Neither,The Republicans,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Yes,Minor impact,Major impact,Major impact,Minor impact,Major impact,Major impact,They are willing to take on health insurance and prescription drug companies,Not enough regulation,Would still say there is not enough regulation,Too much regulation, ,Not much,Not much,Not much,Not much,A little,None at all,None at all,Minor role,Don't know enough to say,Positive impact,No impact,No impact,No impact,More enthusiastic,Republican,Independent,Republican,Republican/Indep lean Rep,Independent lean Rep,No,No, , , , , , , , , , , ,Man,MALE,Male,Straight or heterosexual,NON-LGBT,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",College +,College +,College +,SOME COLLEGE +,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Several times a day, , ,1,3,No, ,"$50,000 to less than $75,000",$40K-$89.9K,$40K +,Less than $90K,Less than $100k,698, , , , , ,Web,Prob panel Web,South,Kentucky,4,Urban,English,East South Central,sex = rgender,1,1.3283,Non-MAGA Rep/leaner,Not MAHA supporter, 
576,complete,4/16/2026,4/16/2026,CAWI, , , ,Illinois,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,54, ,50-54,18-64,50-64,45-54,40-59,45-64,50+,Not too worried,Somewhat worried,Not too worried,Not too worried,Somewhat worried,Covered by health insurance,Plan through (your or your spouse's/my or my spouse's) employer,Insured Less than 65,Employer,"Eliminating prior authorization, where health insurance companies require prior approval before you can get services, tr",The Republicans,The Republicans,The Republicans,The Republicans,The Republicans,The Republicans,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat disapprove,Yes,Major impact,Major impact,Major impact,Major impact,Major impact,Major impact,They care about the problems people like you are having with health care costs,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would change my view,Not at all,Not at all,Not at all,Not at all,None at all,None at all,None at all,No role at all,Major cuts,Positive impact,Positive impact,Positive impact,Positive impact,About the same as previous elections,Republican,Republican, ,Republican/Indep lean Rep,Republican,Yes,Yes,Health Care Access and Affordability,Strongly support,"Important, but not a top priority",A top priority,A top priority,A top priority,A top priority,4,Restricting the use of certain chemical additives in the food supply,Restricting the use of certain chemical additives in the food supply,Support both equally,Woman,FEMALE,Female,Straight or heterosexual,NON-LGBT,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,High school or less,Less than college,HIGH SCHOOL OR LESS,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Several times a day, , ,1,2,Yes, ,"$50,000 to less than $75,000",$40K-$89.9K,$40K +,Less than $90K,Less than $100k,639, , , , , ,Web,Prob panel Web,North Central,Illinois,Lowest,Rural,English,East North Central,sex = rgender,2,.3966,MAGA Rep/leaner,Strong MAHA supporter, 
577,complete,4/15/2026,4/15/2026,CAWI, , , ,Indiana,Yes,Yes - Republican Governor,Republican governor,Voted for Donald Trump,PP Web,23, ,21-24,18-64,18-29,18-24,18-39,18-29,18-49,Very worried,Very worried,Very worried,Very worried,Very worried,Covered by health insurance,Plan through (your/my) parents/mother/father (VOL.),Insured Less than 65,Plan through parents/mother/father (VOL.),"Eliminating prior authorization, where health insurance companies require prior approval before you can get services, tr",The Democrats,The Democrats,The Democrats,The Democrats,Neither,Neither,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Yes,Minor impact,No impact at all,Major impact,Minor impact,Minor impact,Major impact,They are willing to take on health insurance and prescription drug companies,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would still say there is not enough regulation,Not at all,Not at all,A great deal,Not much,A little,A little,A little,"Major role, but not leading",Major cuts,Negative impact,Negative impact,Negative impact,Negative impact,More enthusiastic,Democrat,Independent,Democratic,Democrat/Indep lean Dem,Independent lean Dem, ,No, , , , , , , , , , , ,Woman,FEMALE,Female,Bisexual,LGBT,High school incomplete (Grades 9-11 or Grade 12 with no diploma),Less than high school,High school or less,Less than college,HIGH SCHOOL OR LESS,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Almost constantly, , ,0,2,No, ,"$20,000 to less than $30,000",Less than $40K,Less than $40K,Less than $90K,Less than $100k,450, , , , , ,Web,Prob panel Web,North Central,Indiana,3,Urban,English,East North Central,sex = rgender,1,.5647,Dem/lean Dem,Not MAHA supporter, 
579,complete,4/16/2026,4/16/2026,CAWI, , , ,Oregon,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,62, ,60-64,18-64,50-64,55-64,60-69,45-64,50+,Not at all worried,Somewhat worried,Not at all worried,Not at all worried,Not at all worried,Covered by health insurance,Plan through (your or your spouse's/my or my spouse's) employer,Insured Less than 65,Employer,"Having more choice of what doctors, specialists, and health care providers you can see",Neither,Neither,Neither,Neither,Neither,Neither,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Yes,No impact at all,No impact at all,No impact at all,No impact at all,No impact at all,No impact at all,They have a plan to address health care costs,About the right amount, ,About the right amount, ,Not much,Not much,A fair amount,Not much,A little,A little,A little,No role at all,Don't know enough to say,No impact,Positive impact,No impact,Positive impact,More enthusiastic,Undecided (VOL.),Independent,Neither/Other,Pure Independents,Independent/Don't lean, ,Yes,Importance of Health,Strongly support,"Important, but not a top priority","Important, but not a top priority","Important, but not a top priority","Important, but not a top priority","Important, but not a top priority",0, ,None of these/No answer, ,Man,MALE,Male,Straight or heterosexual,NON-LGBT,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",College +,College +,College +,SOME COLLEGE +,No,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,WHITE,"White, non-Hispanic",No,Several times a day, , ,0,2,No, ,"$200,000 or more",$90K+,$40K +,$90K +,$100k+,631, , , , , ,Web,Prob panel Web,West,Oregon,Lowest,Urban,English,Pacific,sex = rgender,2,1.5301,Pure independent,Strong MAHA supporter, 
580,complete,4/15/2026,4/15/2026,CAWI, , , ,New Jersey,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Kamala Harris,PP Web,44, ,40-44,18-64,30-49,35-44,40-59,30-44,18-49,Not too worried,Not too worried,Somewhat worried,Not too worried,Not too worried,Covered by health insurance,Plan (you/I) purchased (yourself/myself),Insured Less than 65,Self-purchased plan,Paying less out-of-pocket for health care,Neither,Neither,The Democrats,The Democrats,The Democrats,The Democrats,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Yes,Major impact,Minor impact,Minor impact,No impact at all,Minor impact,Major impact,They care about the problems people like you are having with health care costs,Not enough regulation,Would still say there is not enough regulation,Too much regulation, ,Not at all,Not much,Not much,Not at all,A little,A little,A little,Leading role,Minor cuts,Positive impact,Negative impact,Negative impact,Positive impact,More enthusiastic,I wouldn't vote,Independent,Democratic,Democrat/Indep lean Dem,Independent lean Dem, ,Yes,Health Care Access and Affordability,Somewhat support,"Important, but not a top priority",A top priority,A top priority,"Important, but not a top priority",Not too important,2,Restricting the use of certain chemical additives in the food supply,Restricting the use of certain chemical additives in the food supply, ,Man,MALE,Male,Lesbian or gay,LGBT,Less than high school (Grades 1-8 or no formal schooling),Less than high school,High school or less,Less than college,HIGH SCHOOL OR LESS,Yes,NOT White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,Puerto Rico,hispanic,"Hispanic, born in US",No,Several times a day, , ,1,2,Yes, ,"$75,000 to less than $90,000",$40K-$89.9K,$40K +,Less than $90K,Less than $100k,274, , , , , ,Web,Prob panel Web,Northeast,New Jersey,Highest,Suburban,Spanish,Mid Atlantic,sex = rgender,2,.2691,Dem/lean Dem,Weak MAHA supporter, Native Hawaiian/Pacific Islander/Some other race
581,complete,4/15/2026,4/15/2026,CAWI, , , ,Florida,No/Maybe,No/Maybe,Republican governor,Voted for Donald Trump,PP Web,50, ,50-54,18-64,50-64,45-54,40-59,45-64,50+,Somewhat worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Covered by health insurance,Plan through (your or your spouse's/my or my spouse's) employer,Insured Less than 65,Employer,"Having more choice of what doctors, specialists, and health care providers you can see",The Republicans,The Republicans,The Republicans,Neither,The Republicans,The Republicans,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Strongly approve,Yes,Minor impact,Major impact,Minor impact,Major impact,Major impact,Major impact,They have a plan to address health care costs,Not enough regulation,Would still say there is not enough regulation,Not enough regulation,Would still say there is not enough regulation,Not much,Not at all,A fair amount,Not much,None at all,A little,None at all,No role at all,Minor cuts,Positive impact,No impact,Negative impact,No impact,More enthusiastic,Republican,Republican, ,Republican/Indep lean Rep,Republican,Yes,Yes,Improving Nutrition Habits,Strongly support,"Important, but not a top priority",A top priority,A top priority,"Important, but not a top priority",A top priority,3,Restricting the use of certain chemical additives in the food supply,Restricting the use of certain chemical additives in the food supply,Support both equally,Man,MALE,Male,Straight or heterosexual,NON-LGBT,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",College +,College +,College +,SOME COLLEGE +,Yes,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,Another country,hispanic,"Hispanic, born outside US",No,Almost constantly, , ,0,2,No, ,"$100,000 to less than $200,000",$90K+,$40K +,$90K +,$100k+,676, , , , , ,Web,Prob panel Web,South,Florida,4,Suburban,English,South Atlantic,sex = rgender,2,.7419,MAGA Rep/leaner,Strong MAHA supporter, 
582,complete,4/15/2026,4/15/2026,CAWI, , , ,Florida,No/Maybe,No/Maybe,Republican governor,Voted for Donald Trump,PP Web,60, ,60-64,18-64,50-64,55-64,60-69,45-64,50+,Somewhat worried,Very worried,Somewhat worried,Somewhat worried,Somewhat worried,Covered by health insurance,Plan (you/I) purchased (yourself/myself),Insured Less than 65,Self-purchased plan,Getting more value for what you spend on health care,The Republicans,The Republicans,The Republicans,The Republicans,The Republicans,The Republicans,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,No, , , , , , , ,About the right amount, ,About the right amount, ,Not much,A fair amount,A fair amount,A fair amount,A lot,A lot,A lot,Leading role,No cuts,No impact,No impact,No impact,No impact, , ,Independent,Republican,Republican/Indep lean Rep,Independent lean Rep,Yes,Yes,Desire for a Healthier Population / to Make America Healthy,Strongly support,A top priority,A top priority,A top priority,"Important, but not a top priority","Important, but not a top priority",3,Restricting the use of certain chemical additives in the food supply,Restricting the use of certain chemical additives in the food supply,Support both equally,Woman,FEMALE,Female,Straight or heterosexual,NON-LGBT,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",College +,College +,College +,SOME COLLEGE +,Yes,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,Another country,hispanic,"Hispanic, born outside US",No,Almost constantly, , ,0,3,Yes, ,"$50,000 to less than $75,000",$40K-$89.9K,$40K +,Less than $90K,Less than $100k,767, , , , , ,Web,Prob panel Web,South,Florida,2,Suburban,Spanish,South Atlantic,sex = rgender,2,.2627,MAGA Rep/leaner,Strong MAHA supporter, 
584,complete,4/15/2026,4/15/2026,CAWI, , , ,Arizona,Yes,Yes - Democratic/Independent,Democratic governor,Voted for Donald Trump,PP Web,35, ,35-39,18-64,30-49,35-44,18-39,30-44,18-49,Very worried,Very worried,Very worried,Very worried,Very worried,Not covered by health insurance, ,Uninsured Less than 65,Uninsured <65, ,Both equally,Neither,Neither,Neither,The Democrats,The Democrats,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Yes,Minor impact,Minor impact,Major impact,Major impact,Minor impact,Major impact,None of these,About the right amount, ,Not enough regulation,Would change my view,A fair amount,A fair amount,A fair amount,A fair amount,Some,A little,Some,Minor role,Major cuts,Positive impact,Negative impact,Negative impact,Positive impact,More enthusiastic,Democrat,Democrat, ,Democrat/Indep lean Dem,Democrat, ,Yes,Support the movement (general),Somewhat support,A top priority,A top priority,A top priority,A top priority,A top priority,5,"Lowering the cost of health care, including prescription drugs","Lowering the cost of health care, including prescription drugs", ,Man,MALE,Male,Straight or heterosexual,NON-LGBT,"Some college, no degree (includes some community college)",Some college,Some college,Less than college,SOME COLLEGE +,Yes,White,NOT Black or African-American,NOT Asian,NOT American Indian,NOT Alaska Native,NOT Multiple Races,NOT Don't know,NOT REFUSED,NOT Web Blank,1,U.S.,hispanic,"Hispanic, born in US",Yes,Almost constantly, , ,0,4,No, ,"$90,000 to less than $100,000",$90K+,$40K +,$90K +,Less than $100k,450, , , , , ,Web,Prob panel Web,West,Arizona,2,Urban,English,Mountain,sex = rgender,1,.686,Dem/lean Dem,Weak MAHA supporter, 
